序号,站点名称,所在设区市,所在县(市、区),流域,水系,水体,检测时间,水温(℃),pH,溶解氧(mg/L),浊度(NTU),电导率(uS/cm),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
4038,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-25 04,25.7,8.46,6.81,7.6,141.3,2.2,0.14,0.034,0.92
4039,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-25 05,25.6,8.28,6.92,7.6,141.5,,,,
4040,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-25 06,25.6,8.17,6.53,7.2,141.6,,,,
4041,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-25 07,25.6,8.9,8.62,11.2,138.0,,,,
4042,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-25 08,25.9,9.4,9.91,9.7,136.4,2.3,0.11,0.045,0.94
4043,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-25 09,25.8,9.28,9.51,10.8,136.7,,,,
4044,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-25 10,25.7,9.28,9.22,10.1,137.1,,,,
4045,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-25 11,25.5,8.27,6.24,11.8,144.7,,,,
4046,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-25 12,25.4,8.14,5.85,8.9,143.1,2.4,0.1,0.04,0.92
4047,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-25 13,25.5,8.71,8.17,10.5,138.7,,,,
4048,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-25 14,25.6,8.97,8.87,10.8,137.7,,,,
4049,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-25 15,25.6,8.59,7.57,10.3,141.5,,,,
4050,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-25 16,25.5,8.21,6.1,7.9,142.8,2.2,0.09,0.037,0.95
4051,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-25 17,25.4,8.14,6.56,9.2,142.6,,,,
4052,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-25 18,25.5,8.09,6.45,9.4,143.2,,,,
4053,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-25 19,25.7,9.41,11.06,11.5,134.6,,,,
4054,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-25 20,26.0,10.49898731752061,11.84,10.0,136.0,2.7,0.07,0.04,0.92
4055,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-25 21,25.9,11.04089755612263,11.97,12.1,135.7,,,,
4056,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-25 23,25.8,11.03573071580605,11.51,12.0,136.4,,,,
4057,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 00,25.9,10.48348679657089,11.19,10.1,136.5,2.7,0.06,0.05,1.02
4058,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 01,25.8,9.761432027764362,10.83,11.3,136.5,,,,
4059,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 02,25.7,9.246832638733707,10.83,11.4,136.3,,,,
4060,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 03,25.7,8.939688629478919,10.62,11.2,136.4,,,,
4061,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 04,25.6,8.84,7.31,9.8,141.2,2.8,0.06,0.046,0.89
4062,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 05,25.5,8.91,8.1,11.6,140.6,,,,
4063,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 06,25.5,8.94,8.3,10.7,140.3,,,,
4064,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 07,25.5,8.89,8.23,10.4,140.2,,,,
4065,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 08,25.5,8.39,6.71,7.9,142.5,2.4,0.16,0.043,1.01
4066,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 09,25.7,8.57,7.72,11.4,141.0,,,,
4067,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 10,26.0,8.61,7.78,11.3,140.5,,,,
4068,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 11,26.4,8.51,7.5,10.6,140.5,,,,
4069,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 12,26.1,8.78,7.5,11.9,139.4,2.4,0.08,0.046,0.98
4070,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 13,26.4,9.05851878934158,11.88,14.8,133.9,,,,
4071,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 14,26.6,9.255780257863465,11.52,15.7,136.0,,,,
4072,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 15,26.6,9.29,9.53,16.2,139.1,,,,
4073,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 16,26.0,9.14,8.79,14.4,140.0,2.9,0.15,0.053,0.92
4074,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 17,26.0,8.85,8.11,16.3,142.2,,,,
4075,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 18,26.3,8.85,8.32,18.1,142.0,,,,
4076,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 19,26.2,8.72,7.97,16.9,142.2,,,,
4077,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 20,25.8,8.84,7.78,11.1,140.9,2.6,0.14,0.054,0.94
4078,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 21,25.9,8.94,8.64,13.5,139.6,,,,
4079,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 22,26.2,8.55,7.43,13.6,142.3,,,,
4080,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-26 23,26.2,8.25,6.51,12.0,142.8,,,,
4081,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 00,25.7,8.05,5.45,9.1,142.9,2.3,0.19,0.042,1.01
4082,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 01,25.6,7.99,6.11,10.7,143.1,,,,
4083,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 02,25.9,7.97,5.87,10.8,143.2,,,,
4084,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 03,26.0,7.96,5.97,11.5,143.1,,,,
4085,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 04,25.8,8.45,6.88,9.4,139.9,2.4,0.19,0.043,0.92
4086,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 05,25.8,8.86,8.54,11.3,137.1,,,,
4087,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 06,26.1,8.71,7.92,11.8,139.1,,,,
4088,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 07,26.0,8.25,6.74,12.1,141.9,,,,
4089,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 08,25.5,7.92,5.23,10.1,143.5,2.2,0.26,0.047,0.94
4090,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 09,25.5,7.96,6.17,12.3,142.9,,,,
4091,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 10,26.2,8.63,8.48,15.1,138.2,,,,
4092,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 11,26.3,8.67,8.43,18.8,139.6,,,,
4093,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 12,25.8,8.96,8.72,16.9,139.5,2.4,0.15,0.057,1.0
4094,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 13,26.0,8.94,9.04,18.7,138.9,,,,
4095,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 14,26.4,8.8,8.41,18.4,139.9,,,,
4096,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 15,26.3,8.7,8.19,17.9,140.5,,,,
4097,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 16,25.7,8.61,7.74,15.1,141.3,2.4,0.14,0.052,0.96
4098,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 17,25.8,8.47,7.72,16.3,141.6,,,,
4099,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 18,26.3,8.45,7.7,19.2,141.7,,,,
4100,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 19,26.3,8.54,7.98,18.4,140.9,,,,
4101,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 20,25.7,8.9,8.75,16.0,140.1,2.3,0.17,0.055,0.97
4102,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 21,25.8,8.94,9.21,17.2,139.2,,,,
4103,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 22,26.3,9.17,9.73,21.4,137.9,,,,
4104,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-27 23,26.3,9.1,9.55,23.7,138.9,,,,
4105,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 00,25.7,9.03,9.02,18.3,139.8,2.5,0.37,0.063,0.99
4106,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 01,25.6,8.81,8.61,20.5,140.6,,,,
4107,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 02,26.2,9.04,9.43,23.2,139.0,,,,
4108,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 03,26.1,8.91,8.92,22.6,139.9,,,,
4109,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 04,25.6,8.81,8.31,18.1,140.6,2.5,0.37,0.062,1.01
4110,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 05,25.8,9.22,9.88,18.9,136.5,,,,
4111,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 06,26.4,9.49,10.6,19.9,134.8,,,,
4112,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 07,26.4,9.3,9.78,19.4,137.3,,,,
4113,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 08,25.9,9.05,8.76,15.4,139.4,2.4,0.32,0.06,1.02
4114,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 09,26.1,8.73,8.06,17.2,140.3,,,,
4115,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 10,26.8,8.72,8.08,17.2,139.8,,,,
4116,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 11,27.2,8.63,7.8,16.1,139.2,,,,
4117,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 12,26.8,8.42,7.42,11.5,140.0,2.2,0.14,0.035,0.96
4118,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 14,26.5,8.34,7.31,11.2,139.9,,,,
4119,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 15,27.5,8.31,7.15,12.0,139.4,,,,
4120,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 16,26.2,9.08,9.46,18.8,138.9,2.5,0.08,0.054,0.96
4121,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 17,26.3,9.12,9.95,21.6,138.5,,,,
4122,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 18,27.1,9.25,10.18,23.4,137.8,,,,
4123,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 19,27.4,9.379080695378766,14.28,23.9,135.2,,,,
4124,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 20,29.1,9.459108766949429,16.82,16.9,143.5,2.9,0.05,0.064,0.86
4125,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 21,28.0,9.477082455045382,11.73,19.2,137.9,,,,
4126,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 22,27.2,9.42,9.73,20.2,139.1,,,,
4127,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-28 23,27.0,9.3,9.69,19.7,138.9,,,,
4128,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 00,26.1,9.19,9.52,17.0,139.0,3.0,0.08,0.064,1.13
4129,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 01,26.1,9.11,9.39,19.3,139.4,,,,
4130,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 02,26.9,9.09,9.31,22.5,139.3,,,,
4131,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 03,26.8,9.1,9.42,22.5,139.0,,,,
4132,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 04,26.2,9.27,10.0,17.1,138.5,2.5,0.08,0.058,1.0
4133,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 05,26.0,8.99,9.11,18.9,140.1,,,,
4134,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 06,26.8,9.15,9.57,19.2,138.3,,,,
4135,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 07,27.0,9.25,10.03,19.8,137.5,,,,
4136,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 08,26.1,9.25,9.98,16.6,138.6,2.6,0.09,0.064,0.95
4137,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 09,26.1,9.14,9.69,18.0,138.9,,,,
4138,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 10,26.9,9.09,9.33,17.6,139.0,,,,
4139,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 11,27.0,9.05,9.26,18.1,139.0,,,,
4140,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 12,26.0,8.89,8.68,15.6,140.1,2.3,0.11,0.066,0.92
4141,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 13,26.1,8.75,8.56,17.6,140.4,,,,
4142,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 14,27.0,8.96,9.15,20.1,139.2,,,,
4143,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 15,26.9,8.88,8.89,20.8,140.0,,,,
4144,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 16,26.2,9.39,10.83,15.8,138.2,2.4,0.11,0.053,0.96
4145,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 17,26.8,9.891548000073495,13.94,17.8,135.8,,,,
4146,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 18,27.7,10.25256650224918,14.78,20.0,136.9,,,,
4147,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 19,27.8,10.47305550652706,14.59,20.1,137.0,,,,
4148,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 20,27.4,10.55301501290714,15.24,16.9,138.6,2.7,0.06,0.053,0.99
4149,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 21,27.3,10.4924450213894,14.48,18.6,137.8,,,,
4150,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 22,27.6,10.3102058161356,13.88,18.2,136.7,,,,
4151,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-29 23,27.6,10.1194591021162,13.76,18.8,136.3,,,,
4152,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 00,27.2,9.939065163492936,14.22,16.6,136.9,3.0,0.06,0.063,0.92
4153,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 01,26.7,9.769024000265816,10.48,17.2,138.4,,,,
4154,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 02,26.8,9.609335612434839,10.37,19.0,137.1,,,,
4155,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 03,26.7,9.46,10.0,17.8,137.2,,,,
4156,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 04,26.1,9.35,9.66,14.7,137.9,2.9,0.06,0.062,0.93
4157,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 05,26.1,9.41,10.25,16.2,137.6,,,,
4158,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 06,26.6,9.41,9.96,17.9,137.5,,,,
4159,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 07,26.7,9.34,9.74,16.8,137.5,,,,
4160,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 08,26.0,9.35,9.94,14.6,138.1,2.6,0.06,0.062,0.98
4161,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 09,26.1,9.28,9.85,16.1,138.5,,,,
4162,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 10,26.6,9.18,9.3,16.6,139.4,,,,
4163,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 11,26.6,8.97,8.62,15.2,140.5,,,,
4164,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 12,26.2,8.99,8.72,13.3,140.3,2.5,0.09,0.062,1.05
4165,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 13,26.4,8.99,9.1,15.2,139.6,,,,
4166,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 14,26.8,9.17,9.53,15.1,138.9,,,,
4167,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 16,26.3,9.28,10.22,13.9,139.2,2.6,0.08,0.048,0.92
4168,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 17,26.2,8.92,8.85,15.7,140.9,,,,
4169,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 18,26.7,8.97,9.17,16.5,140.0,,,,
4170,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 19,26.0,8.77,9.4,14.6,140.2,,,,
4171,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 20,26.2,9.27,11.64,15.8,138.7,2.6,0.07,0.053,0.98
4172,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 21,26.2,9.25,11.51,16.8,138.5,,,,
4173,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 22,26.7,9.14,10.63,16.8,138.8,,,,
4174,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-06-30 23,26.7,9.1,10.36,16.3,138.7,,,,
4175,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 00,26.1,9.05,10.25,15.2,139.7,2.4,0.07,0.056,0.96
4176,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 01,26.2,9.09,10.65,17.4,139.4,,,,
4177,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 02,26.8,9.02,10.24,18.0,139.2,,,,
4178,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 03,26.8,9.22,11.39,20.8,139.2,,,,
4179,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 04,26.4,9.3,12.18,24.6,140.3,2.4,0.07,0.069,0.94
4180,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 05,26.3,9.3,12.11,29.6,140.2,,,,
4181,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 06,26.9,9.21,11.34,29.3,140.2,,,,
4182,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 07,26.9,9.11,10.86,29.9,141.3,,,,
4183,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 08,26.2,9.3,12.25,22.4,139.9,2.2,0.07,0.08,0.96
4184,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 09,26.3,9.31,12.04,24.7,139.5,,,,
4185,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 10,26.9,9.29,11.77,25.5,139.1,,,,
4186,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 11,27.2,9.22,11.16,23.9,139.8,,,,
4187,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 12,26.6,9.21,11.46,18.6,140.7,2.1,0.07,0.074,1.01
4188,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 13,26.7,9.11,10.74,19.7,140.6,,,,
4189,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 14,26.9,9.54,13.28,22.4,138.8,,,,
4190,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 15,27.4,9.55,13.38,20.8,139.1,,,,
4191,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 16,26.8,9.54,13.81,18.9,140.1,2.5,0.08,0.068,0.98
4192,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 17,26.9,9.48,13.09,20.0,139.5,,,,
4193,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 18,27.3,9.41,12.4,18.8,139.3,,,,
4194,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 19,27.2,9.35,11.99,18.3,139.3,,,,
4195,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 20,26.4,9.21,11.34,17.4,140.2,2.3,0.08,0.059,0.95
4196,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 21,26.2,8.94,9.94,19.9,142.1,,,,
4197,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 22,26.5,8.66,9.13,22.8,143.9,,,,
4198,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-01 23,26.8,9.19,11.3,21.7,139.6,,,,
4199,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 00,26.0,8.73,9.04,18.3,143.4,2.4,0.08,0.067,0.97
4200,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 01,26.2,9.14,10.95,19.7,139.9,,,,
4201,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 02,26.7,9.01,10.14,20.4,140.8,,,,
4202,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 03,26.6,8.82,9.43,19.6,142.2,,,,
4203,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 04,26.0,8.72,9.06,17.6,142.7,2.5,0.08,0.065,0.97
4204,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 05,26.0,8.76,9.37,19.2,142.0,,,,
4205,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 06,26.5,8.91,9.91,18.7,140.3,,,,
4206,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 07,26.6,8.78,9.28,17.8,141.3,,,,
4207,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 08,26.0,8.58,8.58,15.0,142.4,1.8,0.07,0.049,0.97
4208,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 09,26.1,8.63,9.07,16.9,141.4,,,,
4209,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 10,26.8,8.63,9.04,15.6,140.8,,,,
4210,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 11,26.9,8.58,8.67,16.1,141.3,,,,
4211,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 12,26.3,8.48,8.11,11.9,141.9,1.8,0.06,0.044,1.0
4212,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 13,26.4,8.29,8.05,11.9,142.6,,,,
4213,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 14,27.1,9.18,11.38,17.1,137.4,,,,
4214,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 15,27.1,9.25,11.67,17.5,137.8,,,,
4215,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 16,26.4,9.08,10.63,15.6,140.5,2.0,0.07,0.053,0.92
4216,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 17,26.4,8.99,10.13,16.2,140.9,,,,
4217,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 18,26.9,8.93,9.79,16.3,140.6,,,,
4218,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 19,26.9,8.89,9.52,14.9,140.9,,,,
4219,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 20,26.3,8.83,9.21,12.4,140.9,2.1,0.09,0.039,0.94
4220,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-07-02 21,26.3,8.72,9.03,14.7,141.2,,,,
